uniprot_id	dataset	genomic_accession	species	strain	genomic_context	intergenic_distance	receptor_id	grp_identical_proteins	rep_sequence	receptor_family	r_start	r_end	r_strand	TPR_hmm_name	TPR_hmm_accession	TPR_hmm_coverage	TPR_hmm_evalue	HTH_hmm_name	HTH_hmm_accession	HTH_hmm_coverage	HTH_hmm_evalue	homologous_ref_receptor	blastp_evalue	perc_identity	perc_cover	propeptide_id	p_start	p_end	p_strand	p_RBS_bin	p_RBS_motif	p_RBS_spacer	Prediction	propeptide_score	SP(Sec/SPI)	TAT(Tat/SPI)	LIPO(Sec/SPII)	OTHER	CS_Position	qss_id	genetic_element	Phaster_prophage_prediction	prophage_region	taxid	lineage	class	order	family	genus
A7GL11	Firmicutes	CP000764.1	Bacillus cytotoxicus	NVH 391-98	(<= <====)	-4	ABS20819.1	Cluster 10298	True	subfam_01_Rap	524265	525359	-	3q15B00-i1	-	96.6	2.7E-84					RapA_[B._subtilis]	3.43E-18	24.722	93.9	smallORF2210	524134	524268	-	19	AGGGGG	7	SP(Sec/SPI)	0.815395	0.815395	0.002945	0.078366	0.103294	CS pos: 29-30. THQ-AI. Pr: 0.2677	8527	chromosome			315749	c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;x__Bacillus cereus group;s__Bacillus cytotoxicus;x__Bacillus cytotoxicus NVH 391-98	Bacilli	Bacillales	Bacillaceae	Bacillus
A7GMG1	Firmicutes	CP000764.1	Bacillus cytotoxicus	NVH 391-98	(<= <====)	-4	ABS21319.1	Cluster 10299	True	subfam_01_Rap	1108182	1109276	-	3q15B00-i1	-	96.6	7.9E-92					RapA_[B._subtilis]	2.35E-21	25.902	79.4	smallORF2192	1108057	1108185	-	22	AGGAG	7	SP(Sec/SPI)	0.742048	0.742048	0.001722	0.235688	0.020542	CS pos: 24-25. SSS-LD. Pr: 0.2145	8532	chromosome			315749	c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;x__Bacillus cereus group;s__Bacillus cytotoxicus;x__Bacillus cytotoxicus NVH 391-98	Bacilli	Bacillales	Bacillaceae	Bacillus
A7GVL1	Firmicutes	CP000764.1	Bacillus cytotoxicus	NVH 391-98	(====> =>)	-1	ABS24169.1	Cluster 10300	True	subfam_01_Rap	4047541	4048635	+	3q15B00-i1	-	96.8	1.5E-92					RapA_[B._subtilis]	3.73E-22	25.246	79.4	smallORF2188	4048635	4048856	+	22	AGGAG	10	SP(Sec/SPI)	0.975507	0.975507	0.000867	0.014312	0.009314	CS pos: 33-34. AHG-DY. Pr: 0.6204	8535	chromosome			315749	c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;x__Bacillus cereus group;s__Bacillus cytotoxicus;x__Bacillus cytotoxicus NVH 391-98	Bacilli	Bacillales	Bacillaceae	Bacillus
A7GUX4	Firmicutes	CP000764.1	Bacillus cytotoxicus	NVH 391-98	(====> =>)	-4	ABS23932.1	Cluster 7666	True	subfam_01_Rap	3794252	3795388	+	3q15B00-i1	-	97.6	2.6E-87					RapA_[B._subtilis]	9.96E-27	27.957	93.4	ABS23933.1	3795385	3795630	+				SP(Sec/SPI)	0.974105	0.974105	0.001584	0.021824	0.002488	CS pos: 28-29. SQA-DH. Pr: 0.5121	772	chromosome			315749	c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;x__Bacillus cereus group;s__Bacillus cytotoxicus;x__Bacillus cytotoxicus NVH 391-98	Bacilli	Bacillales	Bacillaceae	Bacillus
A7GVL1	Firmicutes	CP000764.1	Bacillus cytotoxicus	NVH 391-98	(====> =>)	-4	ABS24169.1	Cluster 10300	True	subfam_01_Rap	4047541	4048635	+	3q15B00-i1	-	96.8	1.5E-92					RapA_[B._subtilis]	3.73E-22	25.246	79.4	ABS24170.1	4048632	4048856	+				SP(Sec/SPI)	0.971265	0.971265	0.001036	0.015639	0.012061	CS pos: 34-35. AHG-DY. Pr: 0.6080	774	chromosome			315749	c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;x__Bacillus cereus group;s__Bacillus cytotoxicus;x__Bacillus cytotoxicus NVH 391-98	Bacilli	Bacillales	Bacillaceae	Bacillus
A7GLT2	Firmicutes	CP000764.1	Bacillus cytotoxicus	NVH 391-98	(====> =>)	-4	ABS21090.1	Cluster 9638	True	subfam_01_Rap	855631	856737	+	3q15B00-i1	-	96.8	3.2E-89					RapA_[B._subtilis]	3.55E-18	25.36	89.7	smallORF2198	856734	856868	+	22	AGGAG	7	SP(Sec/SPI)	0.633361	0.633361	0.002725	0.228605	0.135309	CS pos: 29-30. QHA-LQ. Pr: 0.2206	8529	chromosome			315749	c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;x__Bacillus cereus group;s__Bacillus cytotoxicus;x__Bacillus cytotoxicus NVH 391-98	Bacilli	Bacillales	Bacillaceae	Bacillus
A7GME7	Firmicutes	CP000764.1	Bacillus cytotoxicus	NVH 391-98	(====> =>)	-4	ABS21305.1	Cluster 9287	True	subfam_01_Rap	1095291	1096403	+	3q15B00-i1	-	97.1	6.3E-85					RapA_[B._subtilis]	6.11E-15	23.848	94.4	smallORF2208	1096400	1096549	+	19	AGGGGG	7	SP(Sec/SPI)	0.764699	0.764699	0.004317	0.027588	0.203395	CS pos: 31-32. QYA-DG. Pr: 0.4073	8530	chromosome			315749	c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;x__Bacillus cereus group;s__Bacillus cytotoxicus;x__Bacillus cytotoxicus NVH 391-98	Bacilli	Bacillales	Bacillaceae	Bacillus
A7GMG1	Firmicutes	CP000764.1	Bacillus cytotoxicus	NVH 391-98	(=> <====)	317	ABS21319.1	Cluster 10299	True	subfam_01_Rap	1108182	1109276	-	3q15B00-i1	-	96.6	7.9E-92					RapA_[B._subtilis]	2.35E-21	25.902	79.4	ABS21318.1	1107589	1107864	+				SP(Sec/SPI)	0.479042	0.479042	0.000396	0.097549	0.423014	CS pos: 28-29. IEG-YY. Pr: 0.3593	769	chromosome			315749	c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;x__Bacillus cereus group;s__Bacillus cytotoxicus;x__Bacillus cytotoxicus NVH 391-98	Bacilli	Bacillales	Bacillaceae	Bacillus
A0A1W6AJG0	Firmicutes	CP020749.1	Bacillus mycoides	Gnyt1	(<= <====)	1	ARJ25977.1	Cluster 10908	True	subfam_01_Rap	5517	6605	-	3q15B00-i1	-	95.5	1.2E-84					RapA_[B._subtilis]	7.88E-20	26.42	91	smallORF41632	5378	5515	-	19	AGGGGG	8	SP(Sec/SPI)	0.732458	0.732458	0.002991	0.224034	0.040518	CS pos: 32-33. VSS-EE. Pr: 0.3249	10506	plasmid			1405	c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;x__Bacillus cereus group;s__Bacillus mycoides	Bacilli	Bacillales	Bacillaceae	Bacillus
A0A0B5S9W9	Firmicutes	CP009692.1	Bacillus mycoides	ATCC 6462	(<= <====)	-1	AJH22156.1	Cluster 10288	False	subfam_01_Rap	4694615	4695709	-	3q15B00-i1	-	97.6	7.2E-79					RapA_[B._subtilis]	9.2E-17	23.497	94.4	AJH17911.1	4694379	4694615	-				SP(Sec/SPI)	0.954402	0.954402	0.004161	0.017592	0.023846	CS pos: 30-31. QQA-VN. Pr: 0.4657	1555	chromosome			1405	c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;x__Bacillus cereus group;s__Bacillus mycoides	Bacilli	Bacillales	Bacillaceae	Bacillus
A0A0B5SFU9	Firmicutes	CP009692.1	Bacillus mycoides	ATCC 6462	(<= <====)	-4	AJH20339.1	Cluster 9740	False	subfam_01_Rap	2694691	2695794	-	3q15B00-i1	-	94.2	1E-72									AJH19389.1	2694407	2694694	-				SP(Sec/SPI)	0.846546	0.846546	0.005756	0.108607	0.039091	CS pos: 30-31. NQA-GH. Pr: 0.2383	1554	chromosome			1405	c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;x__Bacillus cereus group;s__Bacillus mycoides	Bacilli	Bacillales	Bacillaceae	Bacillus
A0A1W6AJ49	Firmicutes	CP020746.1	Bacillus mycoides	Gnyt1	(<= <====)	-4	ARJ25815.1	Cluster 7484	True	subfam_01_Rap	37623	38765	-	3q15B00-i1	-	97.6	1E-84					RapA_[B._subtilis]	6.52E-26	26.471	92.9	ARJ25751.1	37402	37626	-				SP(Sec/SPI)	0.963096	0.963096	0.002256	0.027095	0.007553	CS pos: 28-29. SQA-DH. Pr: 0.7860	2502	plasmid			1405	c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;x__Bacillus cereus group;s__Bacillus mycoides	Bacilli	Bacillales	Bacillaceae	Bacillus
A0A1W6AHD5	Firmicutes	CP020744.1	Bacillus mycoides	Gnyt1	(<= <====)	-4	ARJ25276.1	Cluster 9552	True	subfam_01_Rap	57625	58734	-	3q15B00-i1	-	96.8	2.1E-88					RapA_[B._subtilis]	9.2E-25	24.377	93.8	smallORF41610	57497	57628	-	27	AGGAGG	7	SP(Sec/SPI)	0.692946	0.692946	0.002772	0.275232	0.029049	CS pos: 27-28. TET-QK. Pr: 0.2466	10503	plasmid			1405	c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;x__Bacillus cereus group;s__Bacillus mycoides	Bacilli	Bacillales	Bacillaceae	Bacillus
C2PYQ9	Firmicutes	CM000719.1	Bacillus mycoides	AH621	(====> =>)	17	EEK72342.1	Cluster 9289	True	subfam_01_Rap	3092505	3093617	+	3q15B00-i1	-	95.5	6.1E-93					RapA_[B._subtilis]	1.03E-22	26.685	90.2	EEK72341.1	3093635	3093808	+				SP(Sec/SPI)	0.637824	0.637824	0.023866	0.019129	0.31918	CS pos: 27-28. ATA-NT. Pr: 0.5353	472	chromosome			1405	c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;x__Bacillus cereus group;s__Bacillus mycoides	Bacilli	Bacillales	Bacillaceae	Bacillus
C2PSB6	Firmicutes	CM000719.1	Bacillus mycoides	AH621	(====> =>)	-1	EEK74577.1	Cluster 8984	True	subfam_01_Rap	937886	939001	+	3q15B00-i1	-	97.6	7.2E-88					RapA_[B._subtilis]	4.11E-19	24.444	92.5	EEK74578.1	939001	939246	+				SP(Sec/SPI)	0.965402	0.965402	0.000968	0.028126	0.005504	CS pos: 29-30. NQA-VN. Pr: 0.6391	470	chromosome			1405	c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;x__Bacillus cereus group;s__Bacillus mycoides	Bacilli	Bacillales	Bacillaceae	Bacillus
C2Y441	Firmicutes	CM000737.1	Bacillus mycoides	AH603	(====> =>)	-1	EEL67322.1	Cluster 8014	True	subfam_01_Rap	5673767	5674897	+	3q15B00-i1	-	96	2E-95					RapA_[B._subtilis]	6.79E-21	25	85.1	EEL67323.1	5674897	5675058	+				SP(Sec/SPI)	0.888355	0.888355	0.002787	0.066066	0.042792	CS pos: 27-28. SQT-DQ. Pr: 0.2490	571	chromosome			1405	c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;x__Bacillus cereus group;s__Bacillus mycoides	Bacilli	Bacillales	Bacillaceae	Bacillus
A0A0B5SCI6	Firmicutes	CP009692.1	Bacillus mycoides	ATCC 6462	(====> =>)	-1	AJH19948.1	Cluster 10287	False	subfam_01_Rap	5217111	5218205	+	3q15B00-i1	-	96.6	1.8E-92									AJH18316.1	5218205	5218471	+				SP(Sec/SPI)	0.955006	0.955006	0.000386	0.043543	0.001066	CS pos: 23-24. AEG-DT. Pr: 0.4195	1556	chromosome			1405	c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;x__Bacillus cereus group;s__Bacillus mycoides	Bacilli	Bacillales	Bacillaceae	Bacillus
A0A1W6AJ91	Firmicutes	CP020748.1	Bacillus mycoides	Gnyt1	(====> =>)	-1	ARJ25936.1	Cluster 11415	True	subfam_01_Rap	39950	41023	+	3q15B00-i1	-	97.4	3E-93					RapA_[B._subtilis]	2.63E-23	25.397	82.1	smallORF41630	41023	41157	+	22	AGGAG	10	SP(Sec/SPI)	0.797475	0.797475	0.004743	0.150062	0.04772	CS pos: 27-28. LQS-VS. Pr: 0.1907	10505	plasmid			1405	c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;x__Bacillus cereus group;s__Bacillus mycoides	Bacilli	Bacillales	Bacillaceae	Bacillus
A9VV35	Firmicutes	CP000904.1	Bacillus mycoides	KBAB4	(<= <====)	-4	ABY46467.1	Cluster 10302	True	subfam_01_Rap	70268	71362	-	3q15B00-i1	-	95.5	1.7E-87					RapA_[B._subtilis]	8.68E-27	26.039	94.4	smallORF2470	70143	70271	-	22	AGGAG	7	SP(Sec/SPI)	0.72003	0.72003	0.001462	0.269061	0.009447	CS pos: 29-30. TQS-TV. Pr: 0.2740	8547	plasmid			315730	c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;x__Bacillus cereus group;s__Bacillus mycoides;x__Bacillus mycoides KBAB4	Bacilli	Bacillales	Bacillaceae	Bacillus
A9VI48	Firmicutes	CP000903.1	Bacillus mycoides	KBAB4	(====> =>)	-1	ABY42191.1	Cluster 10301	True	subfam_01_Rap	1015638	1016732	+	3q15B00-i1	-	97.9	1.1E-90									ABY42192.1	1016732	1016977	+				SP(Sec/SPI)	0.820781	0.820781	0.002776	0.171765	0.004678	CS pos: 29-30. NQA-LN. Pr: 0.4600	781	chromosome			315730	c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;x__Bacillus cereus group;s__Bacillus mycoides;x__Bacillus mycoides KBAB4	Bacilli	Bacillales	Bacillaceae	Bacillus
A0A4P9F2M1	Firmicutes	CP040515.1	Bacillus paranthracis	PR1	(<= <====)	-4	QCU11842.1	Cluster 10489	True	subfam_01_Rap	3775573	3776667	-	3q15B00-i1	-	95	1.5E-70					RapA_[B._subtilis]	2.31E-10	23.105	72.5	QCU11841.1	3775433	3775576	-				SP(Sec/SPI)	0.710193	0.710193	0.001853	0.257078	0.030877	CS pos: 30-31. QNA-TQ. Pr: 0.2614	4128	chromosome			2026186	c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;x__Bacillus cereus group;s__Bacillus paranthracis	Bacilli	Bacillales	Bacillaceae	Bacillus
A0A2H3MLQ5	Firmicutes	CM000743.1	Bacillus pseudomycoides	Rock1-4	(<= <====)	-4	EEM04757.1	Cluster 10889	True	subfam_01_Rap	2758893	2759981	-	3q15B00-i1	-	97.1	2.1E-86					RapA_[B._subtilis]	7.37E-16	24.317	94.4	smallORF6166	2758633	2758896	-	22	AGGAG	7	SP(Sec/SPI)	0.681212	0.681212	0.004036	0.291254	0.023499	CS pos: 28-29. NKG-DG. Pr: 0.1078	8321	chromosome			64104	c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;x__Bacillus cereus group;s__Bacillus pseudomycoides	Bacilli	Bacillales	Bacillaceae	Bacillus
A0A2B6IC24	Firmicutes	CM000743.1	Bacillus pseudomycoides	Rock1-4	(<= <====)	-4	EEM02616.1	Cluster 10342	True	subfam_01_Rap	4742795	4743889	-	3q15B00-i1	-	97.1	1.4E-88					RapA_[B._subtilis]	3.01E-11	22.343	95.2	smallORF6157	4742676	4742798	-	27	AGGAGG	7	SP(Sec/SPI)	0.86514	0.86514	0.001238	0.105262	0.02836	CS pos: 24-25. VGT-QT. Pr: 0.2943	8322	chromosome			64104	c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;x__Bacillus cereus group;s__Bacillus pseudomycoides	Bacilli	Bacillales	Bacillaceae	Bacillus
A0A2C4XGM5	Firmicutes	CM000743.1	Bacillus pseudomycoides	Rock1-4	(====> =>)	5	EEM06216.1	Cluster 9744	True	subfam_01_Rap	1094990	1096093	+	3q15B00-i1	-	97.1	8.9E-86					RapA_[B._subtilis]	3.52E-16	22.222	98.1	EEM06217.1	1096099	1096224	+				SP(Sec/SPI)	0.663168	0.663168	0.008518	0.081672	0.246643	CS pos: 24-25. VNE-QQ. Pr: 0.1379	590	chromosome	incomplete(40)	1089951-1112542	64104	c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;x__Bacillus cereus group;s__Bacillus pseudomycoides	Bacilli	Bacillales	Bacillaceae	Bacillus
C3AM19	Firmicutes	CM000743.1	Bacillus pseudomycoides	Rock1-4	(====> =>)	5	EEM05309.1	Cluster 11134	True	subfam_01_Rap	2168811	2169893	+	3q15B00-i1	-	96	1.7E-86					RapA_[B._subtilis]	1.01E-21	27.907	66.9	EEM05308.1	2169899	2170027	+				SP(Sec/SPI)	0.836708	0.836708	0.006531	0.107917	0.048844	CS pos: 31-32. AKA-NL. Pr: 0.5521	591	chromosome			64104	c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;x__Bacillus cereus group;s__Bacillus pseudomycoides	Bacilli	Bacillales	Bacillaceae	Bacillus
A0A2B4PBZ4	Firmicutes	CM000743.1	Bacillus pseudomycoides	Rock1-4	(====> =>)	-1	EEM06626.1	Cluster 10343	True	subfam_01_Rap	869696	870790	+	3q15B00-i1	-	96.8	3.9E-100					RapA_[B._subtilis]	2.28E-33	27.869	94.4	EEM06627.1	870790	870969	+				SP(Sec/SPI)	0.910645	0.910645	0.001897	0.077041	0.010416	CS pos: 29-30. TFA-YG. Pr: 0.6736	589	chromosome			64104	c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;x__Bacillus cereus group;s__Bacillus pseudomycoides	Bacilli	Bacillales	Bacillaceae	Bacillus
C3AVH9	Firmicutes	CM000743.1	Bacillus pseudomycoides	Rock1-4	(====> =>)	-1	EEM02340.1	Cluster 10341	True	subfam_01_Rap	5031116	5032210	+	3q15B00-i1	-	97.4	9.5E-95					RapA_[B._subtilis]	1.59E-18	27.181	76.9	EEM02341.1	5032210	5032416	+				SP(Sec/SPI)	0.8697	0.8697	0.000265	0.128148	0.001886	CS pos: 23-24. AEG-DT. Pr: 0.5621	593	chromosome			64104	c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;x__Bacillus cereus group;s__Bacillus pseudomycoides	Bacilli	Bacillales	Bacillaceae	Bacillus
A0A2B4PBZ4	Firmicutes	CM000743.1	Bacillus pseudomycoides	Rock1-4	(====> =>)	-4	EEM06626.1	Cluster 10343	True	subfam_01_Rap	869696	870790	+	3q15B00-i1	-	96.8	3.9E-100					RapA_[B._subtilis]	2.28E-33	27.869	94.4	smallORF6150	870787	870969	+	22	AGGAG	7	SP(Sec/SPI)	0.910669	0.910669	0.00295	0.072201	0.01418	CS pos: 30-31. TFA-YG. Pr: 0.6677	8318	chromosome			64104	c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;x__Bacillus cereus group;s__Bacillus pseudomycoides	Bacilli	Bacillales	Bacillaceae	Bacillus
A0A2C4XGM5	Firmicutes	CM000743.1	Bacillus pseudomycoides	Rock1-4	(====> =>)	-4	EEM06216.1	Cluster 9744	True	subfam_01_Rap	1094990	1096093	+	3q15B00-i1	-	97.1	8.9E-86					RapA_[B._subtilis]	3.52E-16	22.222	98.1	smallORF6174	1096090	1096224	+	27	AGGAGG	7	SP(Sec/SPI)	0.878554	0.878554	0.001582	0.05743	0.062434	CS pos: 23-24. VHT-TV. Pr: 0.2445	8319	chromosome	incomplete(40)	1089951-1112542	64104	c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;x__Bacillus cereus group;s__Bacillus pseudomycoides	Bacilli	Bacillales	Bacillaceae	Bacillus
C3BPR2	Firmicutes	CM000745.1	Bacillus pseudomycoides	DSM 12442	(<= <====)	-1	EEM15413.1	Cluster 10059	True	subfam_01_Rap	3540792	3541889	-	3q15B00-i1	-	96.6	1.7E-85									EEM15414.1	3540499	3540792	-				SP(Sec/SPI)	0.677841	0.677841	0.002669	0.289081	0.030409	CS pos: 28-29. GFS-SL. Pr: 0.2220	602	chromosome			527000	c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;x__Bacillus cereus group;s__Bacillus pseudomycoides;x__Bacillus pseudomycoides DSM 12442	Bacilli	Bacillales	Bacillaceae	Bacillus
C3BVN4	Firmicutes	CM000745.1	Bacillus pseudomycoides	DSM 12442	(<= <====)	-4	EEM13381.1	Cluster 10347	True	subfam_01_Rap	5593711	5594805	-	3q15B00-i1	-	96.8	3.6E-87					RapA_[B._subtilis]	9.11E-22	25	95.2	smallORF6268	5593565	5593714	-	24	GGAGG	7	SP(Sec/SPI)	0.894827	0.894827	0.044639	0.042148	0.018386	CS pos: 28-29. FNA-QP. Pr: 0.3280	8332	chromosome	incomplete(30)	5589857-5594805	527000	c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;x__Bacillus cereus group;s__Bacillus pseudomycoides;x__Bacillus pseudomycoides DSM 12442	Bacilli	Bacillales	Bacillaceae	Bacillus
C3BGX2	Firmicutes	CM000745.1	Bacillus pseudomycoides	DSM 12442	(====> =>)	-1	EEM18248.1	Cluster 10349	True	subfam_01_Rap	929301	930395	+	3q15B00-i1	-	97.1	1.6E-95					RapA_[B._subtilis]	4.87E-24	26.027	94.4	EEM18249.1	930395	930592	+				SP(Sec/SPI)	0.983081	0.983081	0.000945	0.005616	0.010359	CS pos: 33-34. THA-DH. Pr: 0.6105	598	chromosome			527000	c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;x__Bacillus cereus group;s__Bacillus pseudomycoides;x__Bacillus pseudomycoides DSM 12442	Bacilli	Bacillales	Bacillaceae	Bacillus
A0A1B1LIJ8	Firmicutes	CP015357.1	Bacillus thuringiensis	MYBT18246	(<= <====)	14	ANS52470.1	Cluster 12119	True	subfam_01_Rap	41740	42786	-	3q15B00-i1	-	95.2	1E-64					RapA_[B._subtilis]	1.14E-16	21.658	97.9	ANS52469.1	41579	41725	-				SP(Sec/SPI)	0.658396	0.658396	0.004686	0.161061	0.175858	CS pos: 20-21. SFG-LP. Pr: 0.1333	2119	plasmid	incomplete(60)	41740-50887	1428	c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;x__Bacillus cereus group;s__Bacillus thuringiensis	Bacilli	Bacillales	Bacillaceae	Bacillus
A0A1S7FCY4	Firmicutes	CP020002.1	Bacillus thuringiensis	L-7601	(<= <====)	-1	AQY41474.1	Cluster 9060	True	subfam_01_Rap	5190348	5191463	-	3q15B00-i1	-	96.6	6.1E-90					RapA_[B._subtilis]	6.68E-22	24.665	95.2	AQY41473.1	5190130	5190348	-				SP(Sec/SPI)	0.8788	0.8788	0.000339	0.117477	0.003384	CS pos: 23-24. AEG-DT. Pr: 0.3644	2449	chromosome	intact(120)	5187539-5229880	1428	c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;x__Bacillus cereus group;s__Bacillus thuringiensis	Bacilli	Bacillales	Bacillaceae	Bacillus
A0A5P8FHV3	Firmicutes	CP044979.1	Bacillus thuringiensis	BT62	(<= <====)	-1	QFQ28552.1	Cluster 9897	True	subfam_01_Rap	147066	148166	-	3q15B00-i1	-	96.6	8.9E-83					RapA_[B._subtilis]	3.37E-25	25.967	94.4	QFQ28551.1	146908	147066	-				SP(Sec/SPI)	0.923165	0.923165	0.003195	0.063688	0.009951	CS pos: 26-27. LHA-PQ. Pr: 0.2285	4304	plasmid			1428	c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;x__Bacillus cereus group;s__Bacillus thuringiensis	Bacilli	Bacillales	Bacillaceae	Bacillus
A0A1B1LDW3	Firmicutes	CP015350.1	Bacillus thuringiensis	MYBT18246	(<= <====)	-4	ANS50948.1	Cluster 9313	True	subfam_01_Rap	5245719	5246831	-	3q15B00-i1	-	96	1.1E-92					RapA_[B._subtilis]	3.73E-24	26.016	94.4	ANS50947.1	5245591	5245722	-				SP(Sec/SPI)	0.661718	0.661718	0.002803	0.075324	0.260155	CS pos: 27-28. TEK-DH. Pr: 0.1447	2113	chromosome			1428	c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;x__Bacillus cereus group;s__Bacillus thuringiensis	Bacilli	Bacillales	Bacillaceae	Bacillus
A0A1B1LGZ2	Firmicutes	CP015352.1	Bacillus thuringiensis	MYBT18246	(<= <====)	-4	ANS51880.1	Cluster 10427	True	subfam_01_Rap	95753	96847	-	3q15B00-i1	-	96.6	1.4E-68					RapA_[B._subtilis]	5.98E-12	21.39	95.2	ANS51879.1	95610	95756	-				SP(Sec/SPI)	0.833195	0.833195	0.003671	0.089435	0.073699	CS pos: 24-25. VHT-KQ. Pr: 0.5596	2116	plasmid			1428	c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;x__Bacillus cereus group;s__Bacillus thuringiensis	Bacilli	Bacillales	Bacillaceae	Bacillus
A0A1B1LG80	Firmicutes	CP015351.1	Bacillus thuringiensis	MYBT18246	(====> =>)	14	ANS51709.1	Cluster 11014	True	subfam_01_Rap	84196	85281	+	3q15B00-i1	-	94.7	1.5E-75					RapA_[B._subtilis]	1.43E-15	22.636	91.3	ANS51710.1	85296	85427	+				SP(Sec/SPI)	0.857442	0.857442	0.002481	0.058339	0.081738	CS pos: 27-28. VSK-VV. Pr: 0.1852	2115	plasmid			1428	c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;x__Bacillus cereus group;s__Bacillus thuringiensis	Bacilli	Bacillales	Bacillaceae	Bacillus
A0A3S9TJ74	Firmicutes	CP021437.1	Bacillus thuringiensis	C15	(====> =>)	1	AZR80567.1	Cluster 10484	True	subfam_01_Rap	134858	135952	+	3q15B00-i1	-	96.8	2.3E-84					RapA_[B._subtilis]	5.07E-14	24.242	61	AZR80568.1	135954	136091	+				SP(Sec/SPI)	0.926465	0.926465	0.009363	0.03871	0.025463	CS pos: 32-33. QQA-KY. Pr: 0.2281	2559	plasmid			1428	c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;x__Bacillus cereus group;s__Bacillus thuringiensis	Bacilli	Bacillales	Bacillaceae	Bacillus
A0A0K0QMT7	Firmicutes	CP012100.1	Bacillus thuringiensis	HS18-1	(====> =>)	-4	AKR12823.1	Cluster 9309	True	subfam_01_Rap	464007	465119	+	3q15B00-i1	-	97.6	1.7E-85					RapA_[B._subtilis]	1.83E-14	25	94.4	smallORF26216	465116	465244	+	27	AGGAGG	7	SP(Sec/SPI)	0.775684	0.775684	0.002754	0.137352	0.084209	CS pos: 27-28. VEK-QH. Pr: 0.2919	9585	plasmid			1428	c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;x__Bacillus cereus group;s__Bacillus thuringiensis	Bacilli	Bacillales	Bacillaceae	Bacillus
Q6HME5	Firmicutes	AE017355.1	Bacillus thuringiensis	97-27	(====> =>)	-1	AAT63730.1	Cluster 10292	True	subfam_01_Rap	1035581	1036675	+	3q15B00-i1	-	96.3	9.5E-85					RapA_[B._subtilis]	1.03E-21	23.481	94.4	AAT59257.1	1036675	1036977	+				SP(Sec/SPI)	0.942043	0.942043	0.002264	0.041234	0.01446	CS pos: 29-30. VQQ-AE. Pr: 0.3556	36	chromosome			281309	c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;x__Bacillus cereus group;s__Bacillus thuringiensis;x__[Bacillus thuringiensis] serovar konkukian;x__[Bacillus thuringiensis] serovar konkukian str. 97-27	Bacilli	Bacillales	Bacillaceae	Bacillus
