# 2023/03/12 - 10:28 | PDB: 10.23 | UniProt: 2023.02
PDB,CHAIN,SP_PRIMARY,SUNID,SCOP_ID
1iyz,A,Q8L3C8,83819,d1iyza1
1iyz,A,Q8L3C8,83820,d1iyza2
1iz0,A,Q8L3C8,83821,d1iz0a1
1iz0,A,Q8L3C8,83822,d1iz0a2
1iz1,A,Q9WXC7,83823,d1iz1a1
1iz1,A,Q9WXC7,83824,d1iz1a2
1iz1,B,Q9WXC7,83825,d1iz1b1
1iz1,B,Q9WXC7,83826,d1iz1b2
1iz1,P,Q9WXC7,83827,d1iz1p1
1iz1,P,Q9WXC7,83828,d1iz1p2
1iz1,Q,Q9WXC7,83829,d1iz1q1
1iz1,Q,Q9WXC7,83830,d1iz1q2
1iz2,A,P01009,76975,d1iz2a_
1iz3,A,Q9NWT6,83831,d1iz3a_
1iz4,A,O73947,83832,d1iz4a1
1iz4,A,O73947,83833,d1iz4a2
1iz5,A,O73947,83834,d1iz5a1
1iz5,A,O73947,83835,d1iz5a2
1iz5,B,O73947,83836,d1iz5b1
1iz5,B,O73947,83837,d1iz5b2
1iz6,A,O50089,76976,d1iz6a1
1iz6,A,O50089,76977,d1iz6a2
1iz6,B,O50089,76978,d1iz6b1
1iz6,B,O50089,76979,d1iz6b2
1iz6,C,O50089,76980,d1iz6c1
1iz6,C,O50089,76981,d1iz6c2
1iz7,A,D4Z2G1,76982,d1iz7a_
1iz8,A,D4Z2G1,76983,d1iz8a_
1iz9,A,P10584,76984,d1iz9a1
1iz9,A,P10584,76985,d1iz9a2
1iz9,B,P10584,76986,d1iz9b1
1iz9,B,P10584,76987,d1iz9b2
1iza,A,P01315,43980,d1iza.1
1iza,B,P01315,43980,d1iza.1
1iza,C,P01315,43981,d1iza.2
1iza,D,P01315,43981,d1iza.2
1izb,A,P01315,43971,d1izb.1
1izb,B,P01315,43971,d1izb.1
1izb,C,P01315,43972,d1izb.2
1izb,D,P01315,43972,d1izb.2
1izc,A,Q9UVD4,83838,d1izca_
1izd,A,P0CU33,83839,d1izda_
1ize,A,P0CU33,83840,d1izea_
1izh,A,Q90EB9,76988,d1izha_
1izh,B,Q90EB9,76989,d1izhb_
1izi,A,P03367,76990,d1izia_
1izi,B,P03367,76991,d1izib_
1izj,A,Q60053,83841,d1izja1
1izj,A,Q60053,83842,d1izja2
1izj,A,Q60053,83843,d1izja3
1izk,A,Q60053,83844,d1izka1
1izk,A,Q60053,83845,d1izka2
1izk,A,Q60053,83846,d1izka3
1izl,0,P0A387,76992,d1izl0_
1izl,A,P51765,76994,d1izla_
1izl,B,Q8DIQ1,76995,d1izlb_
1izl,C,Q8DIF8,76996,d1izlc_
1izl,D,Q8CM25,76997,d1izld_
1izl,E,Q8DIP0,76998,d1izle_
1izl,F,Q8DIN9,76999,d1izlf_
1izl,J,P51765,77003,d1izlj_
1izl,K,Q9F1K9,77004,d1izlk_
1izl,L,Q8DIQ1,77005,d1izll_
1izl,M,Q8DIF8,77006,d1izlm_
1izl,N,Q8CM25,77007,d1izln_
1izl,P,Q8DIP0,77009,d1izlp_
1izl,Q,Q8DIN9,77010,d1izlq_
1izl,V,P0A387,77015,d1izlv_
1izl,W,Q9F1K9,77016,d1izlw_
1izm,A,P44882,90725,d1izma_
1izn,A,P13127,83847,d1izna_
1izn,B,P14315,83848,d1iznb_
1izn,C,P13127,83849,d1iznc_
1izn,D,P14315,83850,d1iznd_
1izo,A,O31440,83851,d1izoa_
1izo,B,O31440,83852,d1izob_
1izo,C,O31440,83853,d1izoc_
1izp,A,P61823,90726,d1izpa_
1izq,A,P61823,90727,d1izqa_
1izr,A,P61823,90728,d1izra_
1izy,A,P31658,90729,d1izya_
1izy,B,P31658,90730,d1izyb_
1izz,A,P31658,90731,d1izza_
1j00,A,P0ADA1,83854,d1j00a_
1j01,A,P07986,77020,d1j01a_
1j02,A,P06762,90732,d1j02a_
1j03,A,Q9SK39,90733,d1j03a_
1j04,A,P21549,90734,d1j04a_
1j05,A,P01660,90735,d1j05a_
1j05,B,Q9JL85,90736,d1j05b_
1j05,H,Q9JL85,90737,d1j05h_
1j05,L,P01660,90738,d1j05l_
1j06,A,P21836,77021,d1j06a_
1j06,B,P21836,77022,d1j06b_
1j07,A,P21836,77023,d1j07a_
1j07,B,P21836,77024,d1j07b_
1j08,A,O57917,83855,d1j08a1
1j08,A,O57917,83856,d1j08a2
1j08,B,O57917,83857,d1j08b1
1j08,B,O57917,83858,d1j08b2
1j08,C,O57917,83859,d1j08c1
1j08,C,O57917,83860,d1j08c2
1j08,D,O57917,83861,d1j08d1
1j08,D,O57917,83862,d1j08d2
1j08,E,O57917,83863,d1j08e1
1j08,E,O57917,83864,d1j08e2
1j08,F,O57917,83865,d1j08f1
1j08,F,O57917,83866,d1j08f2
1j08,G,O57917,83867,d1j08g1
1j08,G,O57917,83868,d1j08g2
1j08,H,O57917,83869,d1j08h1
1j08,H,O57917,83870,d1j08h2
1j09,A,P27000,77025,d1j09a1
1j09,A,P27000,77026,d1j09a2
1j0a,A,O57809,83871,d1j0aa_
1j0a,B,O57809,83872,d1j0ab_
1j0a,C,O57809,83873,d1j0ac_
1j0b,A,O57809,83874,d1j0ba_
1j0b,B,O57809,83875,d1j0bb_
1j0b,C,O57809,83876,d1j0bc_
1j0b,D,O57809,83877,d1j0bd_
1j0b,E,O57809,83878,d1j0be_
1j0b,F,O57809,83879,d1j0bf_
1j0b,G,O57809,83880,d1j0bg_
1j0b,H,O57809,83881,d1j0bh_
1j0b,I,O57809,83882,d1j0bi_
1j0b,J,O57809,83883,d1j0bj_
1j0b,K,O57809,83884,d1j0bk_
1j0b,L,O57809,83885,d1j0bl_
1j0b,M,O57809,83886,d1j0bm_
1j0b,N,O57809,83887,d1j0bn_
1j0b,O,O57809,83888,d1j0bo_
1j0b,P,O57809,83889,d1j0bp_
1j0b,Q,O57809,83890,d1j0bq_
1j0b,R,O57809,83891,d1j0br_
1j0b,S,O57809,83892,d1j0bs_
1j0b,T,O57809,83893,d1j0bt_
1j0b,U,O57809,83894,d1j0bu_
1j0b,V,O57809,83895,d1j0bv_
1j0b,W,O57809,83896,d1j0bw_
1j0b,X,O57809,83897,d1j0bx_
1j0c,A,Q7M523,83898,d1j0ca_
1j0c,B,Q7M523,83899,d1j0cb_
1j0c,C,Q7M523,83900,d1j0cc_
1j0c,D,Q7M523,83901,d1j0cd_
1j0d,A,Q7M523,83902,d1j0da_
1j0d,B,Q7M523,83903,d1j0db_
1j0d,C,Q7M523,83904,d1j0dc_
1j0d,D,Q7M523,83905,d1j0dd_
1j0e,A,Q7M523,83906,d1j0ea_
1j0e,B,Q7M523,83907,d1j0eb_
1j0e,C,Q7M523,83908,d1j0ec_
1j0e,D,Q7M523,83909,d1j0ed_
1j0f,A,Q91VW3,90739,d1j0fa_
1j0g,A,P61961,90740,d1j0ga_
1j0h,A,P38940,77027,d1j0ha1
1j0h,A,P38940,77028,d1j0ha2
1j0h,A,P38940,77029,d1j0ha3
1j0h,B,P38940,77030,d1j0hb1
1j0h,B,P38940,77031,d1j0hb2
1j0h,B,P38940,77032,d1j0hb3
1j0i,A,P38940,77033,d1j0ia1
1j0i,A,P38940,77034,d1j0ia2
1j0i,A,P38940,77035,d1j0ia3
1j0i,B,P38940,77036,d1j0ib1
1j0i,B,P38940,77037,d1j0ib2
1j0i,B,P38940,77038,d1j0ib3
1j0j,A,P38940,77039,d1j0ja1
1j0j,A,P38940,77040,d1j0ja2
1j0j,A,P38940,77041,d1j0ja3
1j0j,B,P38940,77042,d1j0jb1
1j0j,B,P38940,77043,d1j0jb2
1j0j,B,P38940,77044,d1j0jb3
1j0k,A,P38940,77045,d1j0ka1
1j0k,A,P38940,77046,d1j0ka2
1j0k,A,P38940,77047,d1j0ka3
1j0k,B,P38940,77048,d1j0kb1
1j0k,B,P38940,77049,d1j0kb2
1j0k,B,P38940,77050,d1j0kb3
1j0m,A,Q9AQS0,83910,d1j0ma1
1j0m,A,Q9AQS0,83911,d1j0ma2
1j0m,A,Q9AQS0,83912,d1j0ma3
1j0n,A,Q9AQS0,83913,d1j0na1
1j0n,A,Q9AQS0,83914,d1j0na2
1j0n,A,Q9AQS0,83915,d1j0na3
1j0o,A,P00132,90742,d1j0oa_
1j0p,A,P00132,90743,d1j0pa_
1j0q,A,P00171,90744,d1j0qa_
1j0r,A,P0CI76,90745,d1j0ra_
1j0r,B,P0CI76,90746,d1j0rb_
1j0s,A,Q14116,90747,d1j0sa_
1j0t,A,P55847,77051,d1j0ta_
1j0w,A,Q9P104,90748,d1j0wa_
1j0w,B,Q9P104,90749,d1j0wb_
1j0x,O,P46406,90750,d1j0xo1
1j0x,O,P46406,90751,d1j0xo2
1j0x,P,P46406,90752,d1j0xp1
1j0x,P,P46406,90753,d1j0xp2
1j0x,Q,P46406,90754,d1j0xq1
1j0x,Q,P46406,90755,d1j0xq2
1j0x,R,P46406,90756,d1j0xr1
1j0x,R,P46406,90757,d1j0xr2
1j0y,A,P36924,83916,d1j0ya1
1j0y,A,P36924,83917,d1j0ya2
1j0y,B,P36924,83918,d1j0yb1
1j0y,B,P36924,83919,d1j0yb2
1j0y,C,P36924,83920,d1j0yc1
1j0y,C,P36924,83921,d1j0yc2
1j0y,D,P36924,83922,d1j0yd1
1j0y,D,P36924,83923,d1j0yd2
1j0z,A,P36924,83924,d1j0za1
1j0z,A,P36924,83925,d1j0za2
1j0z,B,P36924,83926,d1j0zb1
1j0z,B,P36924,83927,d1j0zb2
1j0z,C,P36924,83928,d1j0zc1
1j0z,C,P36924,83929,d1j0zc2
1j0z,D,P36924,83930,d1j0zd1
1j0z,D,P36924,83931,d1j0zd2
1j10,A,P36924,83932,d1j10a1
1j10,A,P36924,83933,d1j10a2
1j10,B,P36924,83934,d1j10b1
1j10,B,P36924,83935,d1j10b2
1j10,C,P36924,83936,d1j10c1
1j10,C,P36924,83937,d1j10c2
1j10,D,P36924,83938,d1j10d1
1j10,D,P36924,83939,d1j10d2
1j11,A,P36924,83940,d1j11a1
1j11,A,P36924,83941,d1j11a2
1j11,B,P36924,83942,d1j11b1
1j11,B,P36924,83943,d1j11b2
1j11,C,P36924,83944,d1j11c1
1j11,C,P36924,83945,d1j11c2
1j11,D,P36924,83946,d1j11d1
1j11,D,P36924,83947,d1j11d2
1j12,A,P36924,83948,d1j12a1
1j12,A,P36924,83949,d1j12a2
1j12,B,P36924,83950,d1j12b1
1j12,B,P36924,83951,d1j12b2
1j12,C,P36924,83952,d1j12c1
1j12,C,P36924,83953,d1j12c2
1j12,D,P36924,83954,d1j12d1
1j12,D,P36924,83955,d1j12d2
1j14,A,P00763,77052,d1j14a_
1j15,A,P00763,77053,d1j15a_
1j16,A,P00763,77054,d1j16a_
1j17,T,P00763,77055,d1j17t_
1j18,A,P36924,83956,d1j18a1
1j18,A,P36924,83957,d1j18a2
1j19,A,P26043,83958,d1j19a1
1j19,A,P26043,83959,d1j19a2
1j19,A,P26043,83960,d1j19a3
1j1a,A,P14555,83961,d1j1aa_
1j1a,B,P14555,83962,d1j1ab_
1j1b,A,P49841,90758,d1j1ba_
1j1b,B,P49841,90759,d1j1bb_
1j1c,A,P49841,90760,d1j1ca_
1j1c,B,P49841,90761,d1j1cb_
1j1d,A,P63316,83963,d1j1da_
1j1d,B,P45379,83964,d1j1db_
1j1d,C,P19429,83965,d1j1dc_
1j1d,D,P63316,83966,d1j1dd_
1j1d,E,P45379,83967,d1j1de_
1j1d,F,P19429,83968,d1j1df_
1j1e,A,P63316,83969,d1j1ea_
1j1e,B,P45379,83970,d1j1eb_
1j1e,C,P19429,83971,d1j1ec_
1j1e,D,P63316,83972,d1j1ed_
1j1e,E,P45379,83973,d1j1ee_
1j1e,F,P19429,83974,d1j1ef_
1j1f,A,P23540,83975,d1j1fa_
1j1g,A,P23540,83976,d1j1ga_
1j1h,A,Q8RR57,77056,d1j1ha_
1j1i,A,Q84II3,83977,d1j1ia_
1j1j,A,Q15631,90762,d1j1ja_
1j1j,B,Q15631,90763,d1j1jb_
1j1j,C,Q15631,90764,d1j1jc_
1j1j,D,Q15631,90765,d1j1jd_
1j1l,A,O00625,90766,d1j1la_
1j1m,A,P02879,90767,d1j1ma_
1j1n,A,Q9KWT5,83978,d1j1na_
1j1n,B,Q9KWT5,83979,d1j1nb_
1j1o,H,P01823,77057,d1j1oh_
1j1o,L,P01642,77058,d1j1ol_
1j1o,Y,P00698,77059,d1j1oy_
1j1p,H,P01823,77060,d1j1ph_
1j1p,L,P01642,77061,d1j1pl_
1j1p,Y,P00698,77062,d1j1py_
1j1q,A,P23339,90768,d1j1qa_
1j1r,A,P23339,90769,d1j1ra_
1j1s,A,P23339,90770,d1j1sa_
1j1t,A,P84143,90771,d1j1ta_
1j1u,A,Q57834,83980,d1j1ua_
1j1v,A,P03004,83981,d1j1va_
1j1w,A,P16100,90772,d1j1wa_
1j1w,B,P16100,90773,d1j1wb_
1j1w,C,P16100,90774,d1j1wc_
1j1w,D,P16100,90775,d1j1wd_
1j1x,H,P01823,77063,d1j1xh_
1j1x,L,P01642,77064,d1j1xl_
1j1x,Y,P00698,77065,d1j1xy_
1j1y,A,Q5SJP3,90776,d1j1ya_
1j1y,B,Q5SJP3,90777,d1j1yb_
1j1z,A,P59846,83982,d1j1za1
1j1z,A,P59846,83983,d1j1za2
1j1z,B,P59846,83984,d1j1zb1
1j1z,B,P59846,83985,d1j1zb2
1j1z,C,P59846,83986,d1j1zc1
1j1z,C,P59846,83987,d1j1zc2
1j1z,D,P59846,83988,d1j1zd1
1j1z,D,P59846,83989,d1j1zd2
1j20,A,P59846,83990,d1j20a1
1j20,A,P59846,83991,d1j20a2
1j20,B,P59846,83992,d1j20b1
1j20,B,P59846,83993,d1j20b2
1j20,C,P59846,83994,d1j20c1
1j20,C,P59846,83995,d1j20c2
1j20,D,P59846,83996,d1j20d1
1j20,D,P59846,83997,d1j20d2
1j21,A,P59846,83998,d1j21a1
1j21,A,P59846,83999,d1j21a2
1j21,B,P59846,84000,d1j21b1
1j21,B,P59846,84001,d1j21b2
1j21,C,P59846,84002,d1j21c1
1j21,C,P59846,84003,d1j21c2
1j21,D,P59846,84004,d1j21d1
1j21,D,P59846,84005,d1j21d2
1j22,A,Q8TZH8,84006,d1j22a_
1j23,A,Q8TZH8,84007,d1j23a_
1j24,A,Q8TZH8,84008,d1j24a_
1j25,A,Q8TZH8,84009,d1j25a_
1j26,A,Q8R035,103823,d1j26a_
1j27,A,Q84BR1,90778,d1j27a_
1j2a,A,P0AFL3,90779,d1j2aa_
1j2b,A,O58843,84010,d1j2ba1
1j2b,A,O58843,84011,d1j2ba2
1j2b,A,O58843,84012,d1j2ba3
1j2b,B,O58843,84013,d1j2bb1
1j2b,B,O58843,84014,d1j2bb2
1j2b,B,O58843,84015,d1j2bb3
1j2c,A,P06762,90780,d1j2ca_
1j2e,A,P27487,90781,d1j2ea1
1j2e,A,P27487,90782,d1j2ea2
1j2e,B,P27487,90783,d1j2eb1
1j2e,B,P27487,90784,d1j2eb2
1j2f,A,Q14653,90785,d1j2fa_
1j2f,B,Q14653,90786,d1j2fb_
1j2g,A,Q45697,103824,d1j2ga1
1j2g,A,Q45697,103825,d1j2ga2
1j2g,B,Q45697,103829,d1j2gb1
1j2g,B,Q45697,111571,d1j2gb2
1j2g,C,Q45697,103830,d1j2gc1
1j2g,C,Q45697,111572,d1j2gc2
1j2g,D,Q45697,103831,d1j2gd1
1j2g,D,Q45697,111573,d1j2gd2
1j2j,A,P84078,84016,d1j2ja_
1j2j,B,Q9UJY5,84017,d1j2jb_
1j2l,A,P21859,90787,d1j2la_
1j2m,A,O18734,84018,d1j2ma_
1j2n,A,O18734,84019,d1j2na_
1j2o,A,P25801,84020,d1j2oa1
1j2o,A,P25801,84021,d1j2oa2
1j2o,A,P70662,84020,d1j2oa1
1j2o,A,P70662,84021,d1j2oa2
1j2p,A,O29760,84022,d1j2pa_
1j2p,B,O29760,84023,d1j2pb_
1j2p,C,O29760,84024,d1j2pc_
1j2p,D,O29760,84025,d1j2pd_
1j2p,E,O29760,84026,d1j2pe_
1j2p,F,O29760,84027,d1j2pf_
1j2p,G,O29760,84028,d1j2pg_
1j2q,A,O29760,84029,d1j2qa_
1j2q,B,O29760,84030,d1j2qb_
1j2q,C,O29760,84031,d1j2qc_
1j2q,D,O29760,84032,d1j2qd_
1j2q,E,O29760,84033,d1j2qe_
1j2q,F,O29760,84034,d1j2qf_
1j2q,G,O29760,84035,d1j2qg_
1j2q,H,Q9P996,84036,d1j2qh_
1j2q,I,Q9P996,84037,d1j2qi_
1j2q,J,Q9P996,84038,d1j2qj_
1j2q,K,Q9P996,84039,d1j2qk_
1j2q,L,Q9P996,84040,d1j2ql_
1j2q,M,Q9P996,84041,d1j2qm_
1j2q,N,Q9P996,84042,d1j2qn_
1j2r,A,P0ADI7,90788,d1j2ra_
1j2r,B,P0ADI7,90789,d1j2rb_
1j2r,C,P0ADI7,90790,d1j2rc_
1j2r,D,P0ADI7,90791,d1j2rd_
1j2t,A,P83772,90792,d1j2ta_
1j2t,B,P83772,90793,d1j2tb_
1j2t,C,P83772,90794,d1j2tc_
1j2t,D,P83772,90795,d1j2td_
1j2t,E,P83772,90796,d1j2te_
1j2t,F,P83772,90797,d1j2tf_
1j2u,A,P83772,90798,d1j2ua_
1j2u,B,P83772,90799,d1j2ub_
1j2u,C,P83772,90800,d1j2uc_
1j2u,D,P83772,90801,d1j2ud_
1j2u,E,P83772,90802,d1j2ue_
1j2u,F,P83772,90803,d1j2uf_
1j2v,A,O58720,90804,d1j2va_
1j2w,A,Q5SJ28,84043,d1j2wa_
1j2w,B,Q5SJ28,84044,d1j2wb_
1j2w,C,Q5SJ28,84045,d1j2wc_
1j2w,D,Q5SJ28,84046,d1j2wd_
1j2x,A,P35269,77066,d1j2xa_
1j2y,A,Q48255,84047,d1j2ya_
1j2z,A,O25927,90805,d1j2za_
1j30,A,F9VPE5,90806,d1j30a_
1j30,B,F9VPE5,90807,d1j30b_
1j31,A,O58376,90808,d1j31a_
1j31,B,O58376,90809,d1j31b_
1j31,C,O58376,90810,d1j31c_
1j31,D,O58376,90811,d1j31d_
1j32,A,Q8RR70,77067,d1j32a_
1j32,B,Q8RR70,77068,d1j32b_
1j33,A,Q7SIC7,77069,d1j33a_
1j34,A,Q7LZ71,84048,d1j34a_
1j34,B,P23807,84049,d1j34b_
1j34,C,P00741,84050,d1j34c_
1j35,A,Q7LZ71,84051,d1j35a_
1j35,B,P23807,84052,d1j35b_
1j35,C,P00741,84053,d1j35c_
1j36,A,Q10714,84054,d1j36a_
1j36,B,Q10714,84055,d1j36b_
1j37,A,Q10714,84056,d1j37a_
1j37,B,Q10714,84057,d1j37b_
1j38,A,Q10714,84058,d1j38a_
1j38,B,Q10714,84059,d1j38b_
1j39,A,P04547,90812,d1j39a_
1j3a,A,O59300,77070,d1j3aa_
1j3b,A,Q5SLL5,77071,d1j3ba1
1j3b,A,Q5SLL5,77072,d1j3ba2
1j3b,B,Q5SLL5,77073,d1j3bb1
1j3b,B,Q5SLL5,77074,d1j3bb2
1j3c,A,P17741,103832,d1j3ca_
1j3d,A,P17741,103833,d1j3da_
1j3e,A,P0AFY8,103834,d1j3ea_
1j3f,A,P02185,103835,d1j3fa_
1j3g,A,P82974,77075,d1j3ga_
1j3h,A,P05132,84060,d1j3ha_
1j3h,B,P05132,84061,d1j3hb_
1j3i,A,P13922,84062,d1j3ia_
1j3i,B,P13922,84063,d1j3ib_
1j3i,C,P13922,84064,d1j3ic_
1j3i,D,P13922,84065,d1j3id_
1j3j,A,P13922,84066,d1j3ja_
1j3j,B,P13922,84067,d1j3jb_
1j3j,C,P13922,84068,d1j3jc_
1j3j,D,P13922,84069,d1j3jd_
1j3k,A,P13922,84070,d1j3ka_
1j3k,B,P13922,84071,d1j3kb_
1j3k,C,P13922,84072,d1j3kc_
1j3k,D,P13922,84073,d1j3kd_
1j3l,A,Q5SIP7,90813,d1j3la_
1j3l,B,Q5SIP7,90814,d1j3lb_
1j3l,C,Q5SIP7,90815,d1j3lc_
1j3l,D,Q5SIP7,90816,d1j3ld_
1j3l,E,Q5SIP7,90817,d1j3le_
1j3l,F,Q5SIP7,90818,d1j3lf_
1j3m,A,Q84BQ8,103836,d1j3ma_
1j3m,B,Q84BQ8,103837,d1j3mb_
1j3n,A,Q5SL80,84074,d1j3na1
1j3n,A,Q5SL80,84075,d1j3na2
1j3n,B,Q5SL80,84076,d1j3nb1
1j3n,B,Q5SL80,84077,d1j3nb2
1j3p,A,P84140,90819,d1j3pa_
1j3p,B,P84140,90820,d1j3pb_
1j3q,A,P84140,90821,d1j3qa_
1j3q,B,P84140,90822,d1j3qb_
1j3r,A,P84140,90823,d1j3ra_
1j3r,B,P84140,90824,d1j3rb_
1j3s,A,P99999,103838,d1j3sa_
1j3t,A,Q9NZM3,103839,d1j3ta_
1j3u,A,Q9LCC6,84078,d1j3ua_
1j3u,B,Q9LCC6,84079,d1j3ub_
1j3w,A,Q9X9L0,90833,d1j3wa_
1j3w,B,Q9X9L0,90834,d1j3wb_
1j3w,C,Q9X9L0,90835,d1j3wc_
1j3w,D,Q9X9L0,90836,d1j3wd_
1j3x,A,P17741,103840,d1j3xa_
1j3y,A,P69905,84080,d1j3ya_
1j3y,B,P68871,84081,d1j3yb_
1j3y,C,P69905,84082,d1j3yc_
1j3y,D,P68871,84083,d1j3yd_
1j3y,E,P69905,84084,d1j3ye_
1j3y,F,P68871,84085,d1j3yf_
1j3y,G,P69905,84086,d1j3yg_
1j3y,H,P68871,84087,d1j3yh_
1j3z,A,P69905,84088,d1j3za_
1j3z,B,P68871,84089,d1j3zb_
1j3z,C,P69905,84090,d1j3zc_
1j3z,D,P68871,84091,d1j3zd_
1j3z,E,P69905,84092,d1j3ze_
1j3z,F,P68871,84093,d1j3zf_
1j3z,G,P69905,84094,d1j3zg_
1j3z,H,P68871,84095,d1j3zh_
1j40,A,P69905,84096,d1j40a_
1j40,B,P68871,84097,d1j40b_
1j40,C,P69905,84098,d1j40c_
1j40,D,P68871,84099,d1j40d_
1j40,E,P69905,84100,d1j40e_
1j40,F,P68871,84101,d1j40f_
1j40,G,P69905,84102,d1j40g_
1j40,H,P68871,84103,d1j40h_
1j41,A,P69905,84104,d1j41a_
1j41,B,P68871,84105,d1j41b_
1j41,C,P69905,84106,d1j41c_
1j41,D,P68871,84107,d1j41d_
1j41,E,P69905,84108,d1j41e_
1j41,F,P68871,84109,d1j41f_
1j41,G,P69905,84110,d1j41g_
1j41,H,P68871,84111,d1j41h_
1j42,A,Q99497,90837,d1j42a_
1j46,A,Q05066,66372,d1j46a_
1j47,A,Q05066,66373,d1j47a_
1j48,A,Q06110,84112,d1j48a_
1j48,B,Q06110,84113,d1j48b_
1j49,A,P26297,71498,d1j49a1
1j49,A,P26297,71499,d1j49a2
1j49,B,P26297,71500,d1j49b1
1j49,B,P26297,71501,d1j49b2
1j4a,A,P26297,71502,d1j4aa1
1j4a,A,P26297,71503,d1j4aa2
1j4a,B,P26297,71504,d1j4ab1
1j4a,B,P26297,71505,d1j4ab2
1j4a,C,P26297,71506,d1j4ac1
1j4a,C,P26297,71507,d1j4ac2
1j4a,D,P26297,71508,d1j4ad1
1j4a,D,P26297,71509,d1j4ad2
1j4b,A,P28650,66374,d1j4ba_
1j4e,A,P00883,66375,d1j4ea_
1j4e,B,P00883,66376,d1j4eb_
1j4e,C,P00883,66377,d1j4ec_
1j4e,D,P00883,66378,d1j4ed_
1j4g,A,P09989,66379,d1j4ga_
1j4g,B,P09989,66380,d1j4gb_
1j4g,C,P09989,66381,d1j4gc_
1j4g,D,P09989,66382,d1j4gd_
1j4h,A,P62942,84114,d1j4ha_
1j4i,A,P62942,84115,d1j4ia_
1j4j,A,P16966,84116,d1j4ja_
1j4j,B,P16966,84117,d1j4jb_
1j4k,A,P22216,66383,d1j4ka_
1j4l,A,P22216,66384,d1j4la_
1j4n,A,P47865,71510,d1j4na_
1j4o,A,P22216,66386,d1j4oa_
1j4p,A,P22216,66387,d1j4pa_
1j4q,A,P22216,66388,d1j4qa_
1j4r,A,P62942,66389,d1j4ra_
1j4r,B,P62942,66390,d1j4rb_
1j4r,D,P62942,66391,d1j4rd_
1j4s,A,Q7M1T4,71511,d1j4sa_
1j4s,B,Q7M1T4,71512,d1j4sb_
1j4s,C,Q7M1T4,71513,d1j4sc_
1j4s,D,Q7M1T4,71514,d1j4sd_
1j4t,A,Q7M1T4,71515,d1j4ta_
1j4t,B,Q7M1T4,71516,d1j4tb_
1j4t,C,Q7M1T4,71517,d1j4tc_
1j4t,D,Q7M1T4,71518,d1j4td_
1j4t,E,Q7M1T4,71519,d1j4te_
1j4t,F,Q7M1T4,71520,d1j4tf_
1j4t,G,Q7M1T4,71521,d1j4tg_
1j4t,H,Q7M1T4,71522,d1j4th_
1j4u,A,Q7M1T4,71523,d1j4ua_
1j4u,B,Q7M1T4,71524,d1j4ub_
1j4u,C,Q7M1T4,71525,d1j4uc_
1j4u,D,Q7M1T4,71526,d1j4ud_
1j4v,A,P81180,71527,d1j4va_
1j4v,B,P81180,71528,d1j4vb_
1j4w,A,Q96AE4,71529,d1j4wa1
1j4w,A,Q96AE4,71530,d1j4wa2
1j4x,A,P51452,66392,d1j4xa_
1j51,A,P00183,66393,d1j51a_
1j51,B,P00183,66394,d1j51b_
1j51,C,P00183,66395,d1j51c_
1j51,D,P00183,66396,d1j51d_
1j52,A,P02185,90880,d1j52a_
1j53,A,P03007,77076,d1j53a_
1j54,A,P03007,77077,d1j54a_
1j55,A,P25815,77078,d1j55a_
1j56,A,P41789,90881,d1j56a_
1j57,A,Q7A260,77079,d1j57a_
1j58,A,O34714,71531,d1j58a_
1j59,A,P0ACJ8,71532,d1j59a1
1j59,A,P0ACJ8,71533,d1j59a2
1j59,B,P0ACJ8,71534,d1j59b1
1j59,B,P0ACJ8,71535,d1j59b2
1j5a,K,Q9RXK1,71537,d1j5ak_
1j5a,L,Q9RXJ7,71538,d1j5al_
1j5a,M,P49228,71539,d1j5am_
1j5b,A,P04002,71540,d1j5ba_
1j5c,A,P21697,71541,d1j5ca_
1j5d,A,P21697,71542,d1j5da_
1j5e,B,P80371,71543,d1j5eb_
1j5e,C,P80372,71544,d1j5ec1
1j5e,C,P80372,71545,d1j5ec2
1j5e,D,P80373,71546,d1j5ed_
1j5e,E,Q5SHQ5,71547,d1j5ee1
1j5e,E,Q5SHQ5,71548,d1j5ee2
1j5e,F,Q5SLP8,71549,d1j5ef_
1j5e,G,P17291,71550,d1j5eg_
1j5e,H,P0DOY9,71551,d1j5eh_
1j5e,I,P80374,71552,d1j5ei_
1j5e,J,Q5SHN7,71553,d1j5ej_
1j5e,K,P80376,71554,d1j5ek_
1j5e,L,Q5SHN3,71555,d1j5el_
1j5e,M,P80377,71556,d1j5em_
1j5e,N,P0DOY6,71557,d1j5en_
1j5e,O,Q5SJ76,71558,d1j5eo_
1j5e,P,Q5SJH3,71559,d1j5ep_
1j5e,Q,P0DOY7,71560,d1j5eq_
1j5e,R,Q5SLQ0,71561,d1j5er_
1j5e,S,Q5SHP2,71562,d1j5es_
1j5e,T,P80380,71563,d1j5et_
1j5e,V,Q5SIH3,71564,d1j5ev_
1j5h,A,P0A3R9,77080,d1j5ha_
1j5i,A,P0A3R9,77081,d1j5ia_
1j5j,A,Q9BKB7,77082,d1j5ja_
1j5k,A,P61978,71565,d1j5ka_
1j5l,A,P29499,71566,d1j5la_
1j5m,A,P29499,71567,d1j5ma_
1j5n,A,P11632,77083,d1j5na_
1j5o,A,P03366,71568,d1j5oa1
1j5o,A,P03366,71569,d1j5oa2
1j5o,B,P03366,71570,d1j5ob_
1j5p,A,Q9X1X6,71577,d1j5pa3
